# r/xi n_trench/mu n_bucket/mu
5.913180e+01 1.905689e+00 7.933839e-35
5.940119e+01 1.851782e+00 4.399789e-35
5.967058e+01 1.769018e+00 1.948272e-35
5.993998e+01 1.646043e+00 6.719624e-34
6.020937e+01 1.471321e+00 2.201638e-35
6.047876e+01 1.238447e+00 1.203982e-34
6.074816e+01 9.550178e-01 8.552003e-35
6.101755e+01 6.508659e-01 2.563871e-37
6.128694e+01 3.750155e-01 6.208775e-36
6.155634e+01 1.733953e-01 3.311632e-36
6.182573e+01 6.056845e-02 7.811365e-36
6.209512e+01 1.487492e-02 5.979639e-35
6.236452e+01 2.347348e-03 3.494377e-35
6.263391e+01 2.118789e-04 1.897770e-35
6.290330e+01 9.407208e-06 4.236676e-35
6.317269e+01 1.694770e-07 3.825240e-36
6.344209e+01 9.763037e-10 4.647112e-35
6.371148e+01 1.358040e-12 1.182865e-34
6.398087e+01 3.361972e-16 3.924262e-35
6.425027e+01 1.113008e-20 9.975759e-35
6.451966e+01 4.055427e-26 5.860703e-35
6.478905e+01 1.578226e-32 2.950617e-35
6.505845e+01 2.872905e-35 1.129388e-35
6.532784e+01 4.069052e-35 1.071877e-36
6.559723e+01 1.435182e-34 1.619967e-35
6.586663e+01 9.606181e-35 3.221015e-35
6.613602e+01 1.710561e-34 1.698697e-35
6.640541e+01 4.351819e-34 3.771114e-36
6.667481e+01 2.246507e-34 9.119249e-36
6.694420e+01 2.226215e-34 8.175688e-35
6.721359e+01 2.421703e-35 9.752000e-35
6.748299e+01 2.465951e-34 7.663985e-35
6.775238e+01 1.894611e-35 1.018470e-34
6.802177e+01 1.473189e-34 4.309328e-36
6.829116e+01 2.016450e-34 1.474761e-35
6.856056e+01 5.458419e-35 1.153080e-34
6.882995e+01 1.742765e-34 1.157515e-34
6.909934e+01 6.321621e-35 2.412502e-35
6.936874e+01 7.024418e-36 3.470615e-35
6.963813e+01 7.672661e-35 9.338973e-36
6.990752e+01 3.490905e-34 1.332468e-35
